model,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
market_lstm,0.5186567164179104,0.5539568345323741,0.5347222222222222,0.5441696113074205,0.5206653225806451,62,62,67,77
market_bilstm,0.5559701492537313,0.6262626262626263,0.4305555555555556,0.5102880658436214,0.5496751792114696,87,37,82,62
concat_fusion,0.5335820895522388,0.5358490566037736,0.9861111111111112,0.6943765281173594,0.5659722222222222,1,123,2,142
attention_fusion,0.5410447761194029,0.5945945945945946,0.4583333333333333,0.5176470588235295,0.5342741935483871,79,45,78,66
