model,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
market_lstm,0.5320197044334976,0.5087108013937283,0.7487179487179487,0.6058091286307054,0.5536517195284968,70,141,49,146
market_bilstm,0.5344827586206896,0.5141509433962265,0.558974358974359,0.5356265356265356,0.5498359460444768,108,103,86,109
concat_fusion,0.4827586206896552,0.47863247863247865,0.8615384615384616,0.6153846153846154,0.4702393972536153,28,183,27,168
attention_fusion,0.5394088669950738,0.5170940170940171,0.6205128205128205,0.5641025641025641,0.563349131121643,98,113,74,121
