source_setting,attention_fusion,concat_fusion,market_bilstm,market_lstm
10jqka_eastmoney,0.5418366085774318,0.5006797676430602,0.5700160672351997,0.5621060437523174
10jqka_sina,0.5916628068550255,0.5011579434923576,0.5977767484946734,0.5889763779527559
all_4_sources_source_ge2,0.5654571843251088,0.47102080309627475,0.5614900822447992,0.5024189646831156
drop_astock,0.593799900886515,0.47122955784373105,0.5958922966796982,0.5692417818402071
only_10jqka,0.5836814558724671,0.4791486603284356,0.5760707769134735,0.5956376644578891
only_eastmoney,0.5329770992366413,0.3991857506361323,0.535826972010178,0.496030534351145
only_sina,0.5131674731297906,0.4850768637862374,0.5561169871108637,0.5436988823705733
sina_eastmoney,0.4884046381447421,0.4426229508196721,0.5466813274690125,0.5148940423830468
