filter,attention_fusion,concat_fusion,market_bilstm,market_lstm
baseline,0.5447004608294931,0.494144754676064,0.571096503117376,0.572865275142315
news_count_ge2,0.5586037424214958,0.4988015388643825,0.560839527061051,0.5613632243640099
news_count_ge3,0.5306985294117647,0.4620863970588235,0.5246783088235294,0.5119944852941176
sentiment_abs_top30,0.4931588785046728,0.45517757009345794,0.5185046728971963,0.5163364485981309
sentiment_abs_top50,0.5208378613344925,0.4891327972179961,0.5303194957617908,0.5377906976744187
source_count_ge2,0.5654571843251088,0.47102080309627475,0.5614900822447992,0.5024189646831156
